time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:outgoing endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:incoming endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall started" firewallHash=21716b47a7a140e448077fe66c31b4b42f232e996818d7dd1c6c4991e066dbdb
time="2025-03-06T16:05:58+01:00" level=info msg="Main HostMap created" network=192.168.80.3/24 preferredRanges="[]"
time="2025-03-06T16:05:58+01:00" level=info msg="UDP hole punching enabled"
time="2025-03-06T16:05:58+01:00" level=info msg="Loaded send_recv_error config" sendRecvError=always
time="2025-03-06T16:05:58+01:00" level=info msg="Nebula interface is active" build=1.6.1 interface=nebula network=192.168.80.3/24 udpAddr="0.0.0.0:4242"
time="2025-03-06T16:11:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:07+01:00" level=info msg="Handshake timed out" durationNs=9397601949 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:04+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:08+01:00" level=info msg="Handshake timed out" durationNs=9695253371 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=418045296 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:12:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
